time,voltage
0.0,0.0
0.004,0.0012
0.008,0.0024
0.012,0.0036
0.016,0.0048
0.02,0.005999999999999999
0.024,0.007199999999999999
0.028,0.0084
0.032,0.0096
0.036,0.010799999999999999
0.04,0.011999999999999999
0.044,0.013199999999999998
0.048,0.014399999999999998
0.052,0.015599999999999998
0.056,0.0168
0.06,0.018
0.064,0.0192
0.068,0.020399999999999998
0.072,0.021599999999999998
0.076,0.022799999999999997
0.08,0.023999999999999997
0.084,0.025199999999999997
0.088,0.026399999999999996
0.092,0.027599999999999996
0.096,0.028799999999999996
0.1,0.029999999999999995
0.104,0.031199999999999995
0.108,0.0324
0.112,0.0336
0.116,0.0348
0.12,0.036
0.124,0.0372
0.128,0.0384
0.132,0.039599999999999996
0.136,0.040799999999999996
0.14,0.041999999999999996
0.144,0.043199999999999995
0.148,0.044399999999999995
0.152,0.045599999999999995
0.156,0.046799999999999994
0.16,0.047999999999999994
0.164,0.049199999999999994
0.168,0.05039999999999999
0.172,0.05159999999999999
0.176,0.05279999999999999
0.18,0.05399999999999999
0.184,0.05519999999999999
0.188,0.05639999999999999
0.192,0.05759999999999999
0.196,0.05879999999999999
0.2,0.05999999999999999
0.204,0.06119999999999999
0.208,0.06239999999999999
0.212,0.06359999999999999
0.216,0.0648
0.22,0.066
0.224,0.06720000000000001
0.228,0.06840000000000002
0.232,0.06960000000000002
0.236,0.07080000000000003
0.24,0.07200000000000004
0.244,0.07320000000000004
0.248,0.07440000000000005
0.252,0.07560000000000006
0.256,0.07680000000000006
0.26,0.07800000000000007
0.264,0.07920000000000008
0.268,0.08040000000000008
0.272,0.08160000000000009
0.276,0.0828000000000001
0.28,0.0840000000000001
0.284,0.08520000000000011
0.288,0.08640000000000012
0.292,0.08760000000000012
0.296,0.08880000000000013
0.3,0.09000000000000014
0.304,0.09120000000000014
0.308,0.09240000000000015
0.312,0.09360000000000016
0.316,0.09480000000000016
0.32,0.09600000000000017
0.324,0.09720000000000018
0.328,0.09840000000000018
0.332,0.09960000000000019
0.336,0.1008000000000002
0.34,0.1020000000000002
0.344,0.10320000000000021
0.348,0.10440000000000021
0.352,0.10560000000000022
0.356,0.10680000000000023
